Date/Time,Actual time (daylight savings adj),Q_104_litsec_Avg,Q (l/min),Sample_Count(104),Total Volume (L),sample point,Sample number,Vol 
5/19/20 12:55,5/19/20 13:55,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:00,5/19/20 14:00,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:05,5/19/20 14:05,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:10,5/19/20 14:10,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:15,5/19/20 14:15,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:20,5/19/20 14:20,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:25,5/19/20 14:25,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:30,5/19/20 14:30,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:35,5/19/20 14:35,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:40,5/19/20 14:40,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:45,5/19/20 14:45,0,0,0,0.9999999,#N/A,#N/A,#N/A
5/19/20 13:50,5/19/20 14:50,0,0,0,3.9999999,#N/A,#N/A,#N/A
5/19/20 13:55,5/19/20 14:55,0,0,0,7.9999989,#N/A,#N/A,#N/A
5/19/20 14:00,5/19/20 15:00,0.003333333,0.19999998,0,12.4999989,#N/A,#N/A,#N/A
5/19/20 14:05,5/19/20 15:05,0.01,0.6,0,16.9999989,#N/A,#N/A,#N/A
5/19/20 14:10,5/19/20 15:10,0.01333333,0.7999998,0,21.9999999,#N/A,#N/A,#N/A
5/19/20 14:15,5/19/20 15:15,0.015,0.9,0,28.5000009,#N/A,#N/A,#N/A
5/19/20 14:20,5/19/20 15:20,0.015,0.9,0,39.0000009,#N/A,#N/A,#N/A
5/19/20 14:25,5/19/20 15:25,0.01666667,1.0000002,0,53.0000019,#N/A,#N/A,#N/A
5/19/20 14:30,5/19/20 15:30,0.02166667,1.3000002,0,71.0000019,#N/A,#N/A,#N/A
5/19/20 14:35,5/19/20 15:35,0.035,2.1,0,90.0000009,2.10000000,1,90.0000009
5/19/20 14:40,5/19/20 15:40,0.04666667,2.8000002,1,108.0000009,#N/A,#N/A,#N/A
5/19/20 14:45,5/19/20 15:45,0.06,3.6,1,124.5000009,#N/A,#N/A,#N/A
5/19/20 14:50,5/19/20 15:50,0.06333333,3.7999998,1,141.9999999,3.79999980,2,141.9999999
5/19/20 14:55,5/19/20 15:55,0.06,3.6,2,161.4999999,#N/A,#N/A,#N/A
5/19/20 15:00,5/19/20 16:00,0.055,3.3,2,182.4999999,#N/A,#N/A,#N/A
5/19/20 15:05,5/19/20 16:05,0.05833333,3.4999998,2,205.9999989,3.49999980,3,205.9999989
