Date/Time,Actual time (daylight savings adj),Q_201_litsec_Avg,Q (l/min),Sample_Count(201),Total Volume (L),sample point,Sample number,Vol 
5/19/20 12:55,5/19/20 13:55,0.005,0.3,0,2.0000001,#N/A,#N/A,#N/A
5/19/20 13:00,5/19/20 14:00,0.006666667,0.40000002,0,3.5000001,#N/A,#N/A,#N/A
5/19/20 13:05,5/19/20 14:05,0.005,0.3,0,5.5000002,#N/A,#N/A,#N/A
5/19/20 13:10,5/19/20 14:10,0.006666667,0.40000002,0,7.5000003,#N/A,#N/A,#N/A
5/19/20 13:15,5/19/20 14:15,0.005,0.3,0,10.0000005,#N/A,#N/A,#N/A
5/19/20 13:20,5/19/20 14:20,0.006666667,0.40000002,0,12.5000007,#N/A,#N/A,#N/A
5/19/20 13:25,5/19/20 14:25,0.006666667,0.40000002,0,14.5000008,#N/A,#N/A,#N/A
5/19/20 13:30,5/19/20 14:30,0.008333334,0.50000004,0,17.000001,#N/A,#N/A,#N/A
5/19/20 13:35,5/19/20 14:35,0.008333334,0.50000004,0,20.000001,#N/A,#N/A,#N/A
5/19/20 13:40,5/19/20 14:40,0.006666667,0.40000002,0,23.000001,#N/A,#N/A,#N/A
5/19/20 13:45,5/19/20 14:45,0.008333334,0.50000004,0,26.500002,#N/A,#N/A,#N/A
5/19/20 13:50,5/19/20 14:50,0.01,0.6,0,31.000002,#N/A,#N/A,#N/A
5/19/20 13:55,5/19/20 14:55,0.01,0.6,0,35.000001,#N/A,#N/A,#N/A
5/19/20 14:00,5/19/20 15:00,0.01166667,0.7000002,0,39.500001,#N/A,#N/A,#N/A
5/19/20 14:05,5/19/20 15:05,0.015,0.9,0,43.5,#N/A,#N/A,#N/A
5/19/20 14:10,5/19/20 15:10,0.01333333,0.7999998,0,48.500001,#N/A,#N/A,#N/A
5/19/20 14:15,5/19/20 15:15,0.015,0.9,0,53.000001,#N/A,#N/A,#N/A
5/19/20 14:20,5/19/20 15:20,0.01333333,0.7999998,0,59.000001,#N/A,#N/A,#N/A
