Date/Time,Actual time (daylight savings adj),Q_101_litsec_Avg,Q (l/min),Sample_Count(101),Total Volume (L),sample point,Sample number,Vol 
5/19/20 12:55,5/19/20 13:55,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:00,5/19/20 14:00,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:05,5/19/20 14:05,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:10,5/19/20 14:10,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:15,5/19/20 14:15,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:20,5/19/20 14:20,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:25,5/19/20 14:25,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:30,5/19/20 14:30,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:35,5/19/20 14:35,0,0,0,0.9999999,#N/A,#N/A,#N/A
5/19/20 13:40,5/19/20 14:40,0,0,0,3,#N/A,#N/A,#N/A
5/19/20 13:45,5/19/20 14:45,0,0,0,5.5000002,#N/A,#N/A,#N/A
5/19/20 13:50,5/19/20 14:50,0.003333333,0.19999998,0,9.0000012,#N/A,#N/A,#N/A
5/19/20 13:55,5/19/20 14:55,0.006666667,0.40000002,0,13.0000002,#N/A,#N/A,#N/A
5/19/20 14:00,5/19/20 15:00,0.008333334,0.50000004,0,17.5000002,#N/A,#N/A,#N/A
5/19/20 14:05,5/19/20 15:05,0.01166667,0.7000002,0,21.4999992,#N/A,#N/A,#N/A
5/19/20 14:10,5/19/20 15:10,0.01333333,0.7999998,0,25.4999982,#N/A,#N/A,#N/A
5/19/20 14:15,5/19/20 15:15,0.015,0.9,0,30.4999992,#N/A,#N/A,#N/A
5/19/20 14:20,5/19/20 15:20,0.01333333,0.7999998,0,35.9999982,#N/A,#N/A,#N/A
5/19/20 14:25,5/19/20 15:25,0.01333333,0.7999998,0,41.9999982,#N/A,#N/A,#N/A
5/19/20 14:30,5/19/20 15:30,0.01666667,1.0000002,0,49.4999982,#N/A,#N/A,#N/A
5/19/20 14:35,5/19/20 15:35,0.01833333,1.0999998,0,57.4999992,#N/A,#N/A,#N/A
5/19/20 14:40,5/19/20 15:40,0.02,1.2,0,65.9999982,#N/A,#N/A,#N/A
5/19/20 14:45,5/19/20 15:45,0.025,1.5,0,74.9999982,1.6000002,1,74.9999982
5/19/20 14:50,5/19/20 15:50,0.02666667,1.6000002,1,85.4999982,#N/A,#N/A,#N/A
5/19/20 14:55,5/19/20 15:55,0.02833333,1.6999998,1,96.4999992,#N/A,#N/A,#N/A
5/19/20 15:00,5/19/20 16:00,0.03,1.8,1,109.0000002,#N/A,#N/A,#N/A
