Date/Time,Actual time (daylight savings adj),Q_102_litsec_Avg,Q (l/min),Sample_Count(102),Total Volume (L),sample point,Sample number,Vol 
5/19/20 12:55,5/19/20 13:55,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:00,5/19/20 14:00,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:05,5/19/20 14:05,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:10,5/19/20 14:10,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:15,5/19/20 14:15,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:20,5/19/20 14:20,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:25,5/19/20 14:25,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:30,5/19/20 14:30,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:35,5/19/20 14:35,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:40,5/19/20 14:40,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:45,5/19/20 14:45,0,0,0,0.9999999,#N/A,#N/A,#N/A
5/19/20 13:50,5/19/20 14:50,0,0,0,4.5000009,#N/A,#N/A,#N/A
5/19/20 13:55,5/19/20 14:55,0,0,0,7.0000011,#N/A,#N/A,#N/A
5/19/20 14:00,5/19/20 15:00,0.003333333,0.19999998,0,9.0000012,#N/A,#N/A,#N/A
5/19/20 14:05,5/19/20 15:05,0.01166667,0.7000002,0,11.0000013,#N/A,#N/A,#N/A
5/19/20 14:10,5/19/20 15:10,0.008333334,0.50000004,0,13.5000015,#N/A,#N/A,#N/A
5/19/20 14:15,5/19/20 15:15,0.006666667,0.40000002,0,16.5000015,#N/A,#N/A,#N/A
5/19/20 14:20,5/19/20 15:20,0.006666667,0.40000002,0,20.0000025,#N/A,#N/A,#N/A
5/19/20 14:25,5/19/20 15:25,0.008333334,0.50000004,0,25.0000035,#N/A,#N/A,#N/A
5/19/20 14:30,5/19/20 15:30,0.01,0.6,0,31.0000035,0.6000000,1,31.0000035
5/19/20 14:35,5/19/20 15:35,0.01166667,0.7000002,1,38.5000035,#N/A,#N/A,#N/A
5/19/20 14:40,5/19/20 15:40,0.01666667,1.0000002,1,45.5000025,#N/A,#N/A,#N/A
5/19/20 14:45,5/19/20 15:45,0.02,1.2,1,52.5000015,#N/A,#N/A,#N/A
5/19/20 14:50,5/19/20 15:50,0.025,1.5,1,60.5000025,1.5000000,2,60.5000025
5/19/20 14:55,5/19/20 15:55,0.02333333,1.3999998,2,69.0000015,#N/A,#N/A,#N/A
5/19/20 15:00,5/19/20 16:00,0.02333333,1.3999998,2,79.0000035,1.3999998,3,79.0000035
5/19/20 15:05,5/19/20 16:05,0.02666667,1.6000002,3,89.5000035,#N/A,#N/A,#N/A
